region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
II (Cagayan Valley),Tuguegarao (Domestic),Cebu Pacific,9190,8282,9414,10884,11762,5910,9838,10364,8054,7708,8682,8840,108928
II (Cagayan Valley),Tuguegarao (Domestic),Air Philippines,3790,3276,3618,3594,3560,2062,1284,1688,1122,1730,2622,2722,31068
II (Cagayan Valley),Tuguegarao (Domestic),North Sky Air,206,242,306,320,232,310,104,222,144,546,552,650,3834
II (Cagayan Valley),Tuguegarao (Domestic),Royal Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (Domestic),Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (Domestic),Florida/NAI,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (Domestic),Batanes Air,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (Domestic),Cyclone Air,-,4,-,-,-,4,-,4,-,-,-,-,12
II (Cagayan Valley),Tuguegarao (Domestic),Mid Sea Express,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (Domestic),ATX,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (Domestic),Royal Air,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (Domestic),WCC Skypasada,558,382,580,956,1400,696,648,466,180,406,540,474,7286
II (Cagayan Valley),Tuguegarao (Domestic),ACC,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (Domestic),G. Aviation,-,120,56,84,22,-,10,126,12,18,-,32,480
II (Cagayan Valley),Tuguegarao (Domestic),Military,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Iba,G. Aviation,950,1146,817,779,1027,898,598,592,902,1143,1017,532,10401
III (Central Luzon),Subic,International,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Subic,Domestic,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,International,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,Asiana Airlines,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,Hongkong Airlines,-,-,-,-,-,-,-,-,-,-,-,-,0
