"year","month","region","subregion","country","passenger_count","ctry_cntr_long","ctry_cntr_lat"
2014,"march","Asia","Middle East","Saudi Arabia",3315,-115.712795698925,23.777311827957
2014,"march","Asia","Middle East","United Arab Emirates",1297,-104.391111111111,25.18
2014,"march","Asia","South Asia","Bangladesh",300,-69.7788111888112,23.7406293706294
2014,"march","Asia","South Asia","India",4972,-80.6390758047767,21.5019210799585
2014,"march","Asia","South Asia","Iran",285,-108.556127819549,33.8924812030075
2014,"march","Asia","South Asia","Nepal",184,-75.3217307692308,27.6073076923077
2014,"march","Asia","South Asia","Pakistan",320,-89.0981339712919,29.9402631578947
2014,"march","Asia","South Asia","Sri Lanka",350,-79.6352112676057,7.26901408450704
2014,"march","Australasia & The Pacific","Australasia & The Pacific","Australia",17262,-15.7823004694836,-30.319014084507
2014,"march","Australasia & The Pacific","Australasia & The Pacific","Guam",3059,-15.2292592592593,13.4496296296296
2014,"march","Australasia & The Pacific","Australasia & The Pacific","Nauru",1,6.90999999999997,-0.55
2014,"march","Australasia & The Pacific","Australasia & The Pacific","New Zealand",1036,13.6360507246377,-40.5059420289855
2014,"march","Australasia & The Pacific","Australasia & The Pacific","Papua New Guinea",448,-13.0243902439024,-6.12756097560976
2014,"march","Europe","Eastern Europe","Commonwealth Of Independent States",554,NA,NA
2014,"march","Europe","Eastern Europe","Poland",620,-141.010615034169,51.843735763098
2014,"march","Europe","Eastern Europe","Russian Federation",3557,-104.664588832487,53.6329137055838
2014,"march","Europe","Eastern Mediterranean Europe","Israel",878,-124.919067357513,32.3195336787565
2014,"march","Europe","Eastern Mediterranean Europe","Turkey",301,-125.645423514539,39.2837547408344
2014,"march","Europe","Northern Europe","Denmark",1295,-149.482451612903,55.8588709677419
2014,"march","Europe","Northern Europe","Finland",586,-135.20176744186,62.2486046511628
2014,"march","Europe","Northern Europe","Ireland",973,-167.659333333333,53.1170909090909
2014,"march","Europe","Northern Europe","Norway",1506,-149.670952380952,62.0989355742297
2014,"march","Europe","Northern Europe","Sweden",2002,-144.479326923077,58.9549038461538
2014,"march","Europe","Northern Europe","United Kingdom",0,-161.96267027027,52.9356972972973
2014,"march","Europe","Southern Europe","Greece",196,-136.79204,38.98216
2014,"march","Europe","Southern Europe","Italy",1884,-147.610994923858,42.7972182741117
2014,"march","Europe","Southern Europe","Portugal",192,-168.546278538813,39.9041552511416
2014,"march","Europe","Southern Europe","Spain",1653,-162.8159375,40.0899421296296
2014,"march","Europe","Western Europe","Andorra",331,-158.461428571429,42.5342857142857
2014,"march","Europe","Western Europe","Austria",1214,-145.891361702128,47.6804680851064
2014,"march","Europe","Western Europe","Belgium",996,-155.426974637681,50.7387862318841
2014,"march","Europe","Western Europe","France",3753,-157.2156,47.37819
2014,"march","Europe","Western Europe","Germany",8788,-150.696603206413,50.8155811623246
2014,"march","Europe","Western Europe","Luxembourg",46,-153.907505285412,49.7718181818182
2014,"march","Europe","Western Europe","Netherlands",2097,-154.601603773585,52.0650943396226
