"month","region","subregion","country","ctry_cntr_long","ctry_cntr_lat","y2014","y2015","y2016","y2017","y2018"
"february","Europe","Western Europe","France",-157.2156,47.37819,4223,5821,7146,8498,9737
"february","Europe","Western Europe","Germany",-150.696603206413,50.8155811623246,7779,7396,9869,10003,9826
"february","Europe","Western Europe","Luxembourg",-153.907505285412,49.7718181818182,57,57,79,64,81
"february","Europe","Western Europe","Netherlands",-154.601603773585,52.0650943396226,2000,2356,2809,3038,2860
"february","Europe","Western Europe","Switzerland",-151.942360774818,47.0366101694915,2425,2551,3062,3244,3298
"february","Others & Unspecified","Others & Unspecified","Residences",NA,NA,4600,4870,6679,6523,7446
"march","Africa","Africa","Nigeria",-152.464510556622,9.04612284069098,101,82,90,124,136
"march","Africa","Africa","South Africa",-132.876814159292,-28.5941592920354,325,356,350,399,640
"march","America","North America","Canada",112.832333696838,48.1319847328244,0,15688,16528,17470,22310
"march","America","North America","Mexico",100.133599574015,20.7982747603834,264,267,217,268,403
"march","America","North America","USA",104.870802407222,37.4450351053159,0,71831,75437,78199,90961
"march","America","South America","Argentina",137.710731707317,-33.5251219512195,105,260,310,367,457
"march","America","South America","Brazil",153.832635897436,-17.5192102564103,242,319,346,568,701
"march","America","South America","Colombia",125.168682877406,5.70347517730496,67,119,113,153,167
"march","America","South America","Peru",123.582095588235,-9.93136029411765,31,42,58,67,104
"march","America","South America","Venezuela",131.974711538462,9.79432692307692,27,15,32,14,36
"march","Asia","ASEAN","Brunei",-45.374,4.73,1013,840,907,978,1096
"march","Asia","ASEAN","Cambodia",-55.1844,12.2416,311,245,272,294,314
"march","Asia","ASEAN","Indonesia",-49.7179831932773,-5.32147058823529,4403,4235,4026,4624,7773
"march","Asia","ASEAN","Laos",-55.9455555555555,18.0761111111111,114,119,78,77,103
"march","Asia","ASEAN","Malaysia",-56.2003067484662,3.87441717791411,0,13892,12611,12861,12756
"march","Asia","ASEAN","Myanmar",-63.8993939393939,18.9172727272727,556,682,614,836,920
"march","Asia","ASEAN","Singapore",-56.15,1.3,0,16942,16065,15086,16281
"march","Asia","ASEAN","Thailand",-58.8763822525597,14.4172354948805,4717,4059,4071,4173,4985
"march","Asia","ASEAN","Vietnam",-53.5057352941176,16.3188235294118,2805,2858,2588,3014,4298
"march","Asia","East Asia","China",-44.1156278026906,34.0535201793722,0,30067,53596,76155,0
"march","Asia","East Asia","Hongkong",NA,NA,9262,10483,11974,7746,13857
"march","Asia","East Asia","Japan",-23.1284684684684,35.605975975976,0,46885,51093,60778,63878
"march","Asia","East Asia","Korea",-32.3073484848485,36.3019696969697,0,93099,98781,135813,0
"march","Asia","East Asia","Macau",NA,NA,711,833,752,702,1000
"march","Asia","East Asia","Taiwan",-39.2136734693877,24.0868367346939,0,14711,16758,22498,19021
"march","Asia","Middle East","Bahrain",-109.447272727273,26.1736363636364,320,271,253,285,370
"march","Asia","Middle East","Egypt",-128.630588235294,29.4472549019608,167,151,199,141,188
"march","Asia","Middle East","Jordan",-124.15642384106,32.0415894039735,79,61,61,63,54
"march","Asia","Middle East","Kuwait",-112.027714285714,29.2714285714286,344,381,400,617,526
"march","Asia","Middle East","Oman",-102.48380952381,22.9366666666667,NA,NA,NA,NA,201
"march","Asia","Middle East","Qatar",-108.735555555556,25.3366666666667,260,423,414,346,458
"march","Asia","Middle East","Saudi Arabia",-115.712795698925,23.777311827957,3315,4446,4418,4341,3745
"march","Asia","Middle East","United Arab Emirates",-104.391111111111,25.18,1297,1728,1790,1733,2200
"march","Asia","South Asia","Bangladesh",-69.7788111888112,23.7406293706294,300,411,460,355,387
"march","Asia","South Asia","India",-80.6390758047767,21.5019210799585,4972,6415,6943,7479,9935
"march","Asia","South Asia","Iran",-108.556127819549,33.8924812030075,285,258,368,433,470
"march","Asia","South Asia","Nepal",-75.3217307692308,27.6073076923077,184,203,298,608,1634
"march","Asia","South Asia","Pakistan",-89.0981339712919,29.9402631578947,320,419,366,407,342
"march","Asia","South Asia","Sri Lanka",-79.6352112676057,7.26901408450704,350,423,434,467,434
"march","Australasia & The Pacific","Australasia & The Pacific","Australia",-15.7823004694836,-30.319014084507,17262,17625,18438,20157,19480
"march","Australasia & The Pacific","Australasia & The Pacific","Guam",-15.2292592592593,13.4496296296296,3059,2227,2430,2536,2509
"march","Australasia & The Pacific","Australasia & The Pacific","Nauru",6.90999999999997,-0.55,1,0,0,2,0
"march","Australasia & The Pacific","Australasia & The Pacific","New Zealand",13.6360507246377,-40.5059420289855,1036,1319,1283,1843,1904
"march","Australasia & The Pacific","Australasia & The Pacific","Papua New Guinea",-13.0243902439024,-6.12756097560976,448,381,537,448,427
"march","Europe","Eastern Europe","Commonwealth Of Independent States",NA,NA,554,868,906,1157,1462
"march","Europe","Eastern Europe","Poland",-141.010615034169,51.843735763098,620,767,960,1417,1274
