province,foreign,ofw,domestic,total
Guijulngan,28,3,1638,1669
La Libertad,177,,3386,3563
Jimalaud,42,,358,400
Mabinay,615,,20414,21029
Manjuyod,654,31,11582,12267
San Jose,257,,78,335
Siaton,926,,3545,4471
Sibulan,448,,921,1369
Tanjay,86,5,1725,1816
Valencia,4011,,13690,17701
Zamboanguita,8495,72,2525,11092
Siquijor,27072,0,34145,61217
E. Villanueva,284,,517,801
Larena,2082,,4566,6648
Lazi,669,,440,1109
Maria,1074,,5958,7032
San Juan,19891,,12788,32679
Siquijor,3072,,9876,12948
Cebu City,565311,6192,1172059,1743562
Lapu-lapu City,885309,2814,293197,1181320
Mandaue City,17311,160,39129,56600
Region VIII (EASTERN VISAYAS),42046,2294,1008375,1052715
Biliran,952,60,12780,13792
Almeria,142,,2434,2576
Caibiran,27,,1023,1050
Cabucgayan,44,60,808,912
Culaba,,,,
Kawayan,,,,
Maripipi,,,,
Naval,739,,8515,9254
Eastern Samar,210,-,4511,4721
Borongan City,-,-,-,
Guiuan,210,,4511,4721
Leyte,8466,-,213379,221845
Abuyog,-,-,42972,42972
Alburera,-,-,-,
Bago,-,-,8926,8926
Baybay City,642,,87626,88268
Hilongos,-,-,4386,4386
Inopacan,-,-,-,
Isabel,497,-,3975,4472
Kanangga,-,-,-,
McArthur,-,-,-,
Ormoc City,6211,,55397,61608
Palo,-,-,-,
San Isidro,1116,-,10097,11213
Northern Samar,627,-,63707,64334
Allen,45,-,12254,12299
Biri,73,-,2075,2148
Capul,78,-,748,826
Catarman,259,-,35860,36119
Navar,11,-,434,445
Palapag,,-,,
San Antonio,161,,11028,11189
San Roque,,,1308,1308
Victoria,,,,
Samar,3583,-,148614,152197
Calbayog City,3561,-,96336,99897
Catbalogan,,-,51558,51558
Basey,,,,
Marabut,11,,322,333
Paranas,11,,398,409
Southern Leyte,2572,-,120954,123526
Hinunangan,147,,8779,8926
Hinundayan,7,,657,664
Limasawa,174,,2218,2392
Maasin City,1900,,71834,73734
Macrohon,130,,7190,7320
Padre Burgos,,,,
Pintuyan,,,,
Saint Bernard,,,,
Sogod,153,,24421,24574
Others,61,,5855,5916
Tacloban City,25636,2234,444430,472300
Region IX (ZAMBOANGA PENINSULA),9080,12859,608812,630751
Zamboanga del Norte,4835,-,212733,217568
Dapitan City,980,,36087,37067
Dipolog City,3855,,176646,180501
Zamboanga del Sur,,,,
Pagadian City,,,,
Zamboanga Sibugay,34,,3993,4027
Isabela City,,,,
Zamboanga City,4211,12859,392086,409156
Region X (NORTHERN MINDANAO),98211,6340,2596975,2701526
Bukidnon,41720,2441,613187,657348
Malaybalay City,807,,60850,61657
Valencia City,4629,,188224,192853
Others,36284,2441,364113,402838
Camiguin,12060,,589013,601073
Lanao del Norte,351,,30310,30661
Iligan City,1404,8,169450,170862
Misamis Occidental,7476,-,550392,557868
Ozamis City,5542,,324719,330261
Tangub City,47,,9260,9307
Oroquieta City,832,,59075,59907
Others,1055,,157338,158393
Misamis Oriental,279,-,43343,43622
Gingoog City,279,,39388,39667
Others,,,3955,3955
Cagayan de Oro City,34921,3891,601280,640092
Region XI  (DAVAO REGION),174165,14699,2649625,2838489
Compostela Valley,158,14699,206490,206648
Davao del Norte,40878,,651267,692145
Asuncion,,,,
Island Garden City of Samal,,,,
Kapalong,,,,
New Corella,,,,
Panabo City,,,,
Tagum City,,,,
Others,,,,
Davao del Sur,433,,9401,9834
Davao City,128622,,1586688,1730009
Davao Oriental,4074,,195779,199853
Region XII  (SOCCSSARGEN),34720,0,904641,939361
North Cotabato,36,0,101114,101150
Kidapawan City,36,,101114,101150
Sarangani,15593,,77443,93036
South Cotabato,1771,0,125297,127068
Koronadal City,390,,55431,55821
Others,1381,,69866,71247
Sultan Kudarat,132,0,18757,18889
Tacurong City,115,,18580,18695
Others,17,,177,194
Cotabato Province,13,,37394,37407
Cotabato City,4975,,72330,77305
General Santos City,12200,,472306,484506
Region XIII (CARAGA),49513,2816,1195183,1247512
Agusan del Norte,516,0,57883,58399
Butuan City,7779,2473,157350,167602
Cabadbaran City,167,-,14117,14284
Others,349,-,43766,44115
Agusan del Sur,362,-,155420,155782
Dinagat Islands,729,-,65028,65757
Surigao del Norte,38509,343,579961,618813
Surigao City,15377,343,457143,472863
Others,23132,-,122818,145950
Surigao del Sur,1618,-,179541,181159
Bislig City,827,-,41359,42186
Tandag City,291,-,65173,65464
Others,500,-,73009,73509
GRAND TOTAL,6921099,171050,30749881,37842030
